SCFA	Formic_acid_BHA	Lac	Acetic_acid_BHA	3-Hydroxybutyric_acid_BHA	Propionic_acid_BHA	Isobutyric_acid_BHA	Butyric_acid_BHA	Malate_2BHA	2-Methylbutyric_acid_BHA	Succinate_2BHA	Isovaleric_acid_BHA	Valeric_acid_BHA	Fumarate_2BHA	4-Methylvaleric_acid_BHA	Isocitrate_3BHA	Hexanoic_acid_BHA	Citrate	Aceton_BHA	Heptanoic_acid_BHA	Acetoacetate_2BHA	Aconitate_3BHA	Pyruvate_2BHA	2-Oxoglutarate_3BHA	2-Ketoisovaleric_acid_2BHA	3-Methyl-2-oxopentanoic_acid_BHA	Malondialdehyd_2BHA	4-Methyl-2-oxopentanoic_acid_BHA
sample-101	0.987367189	3.043583085	1.299186744	2.189559811	1.363340176	2.404206598	1.40357037	0.835514891	2.840651925	0.758042824	3.165637701	1.963605192	0.434464782	1.324140828	0.124927673	1.498755735	0.39409468	1.735358546	2.305213865	2.569226618	12.68431829	0.850868292	0.66732913	1.590253749	1.115963955	1.649361598	1.016583196
sample-102	21.12299667	14.53738001	3.148511251	0.383947509	3.117207778	1.55833858	2.725979788	2.598950985	1.081137649	3.934550299	1.099710055	1.954447807	1.7551376	65.92937955	1.15245767	0.688325913	2.394982847	1.497676812	0.231904187	0.203729596	0.878340813	1.262076453	0.951182675	2.459495258	1.130511467	4.066287215	0.957918548
sample-103	1.024145684	0.432928396	0.670304829	0.229477208	0.759768131	0.785610266	0.7182601	0.463137209	0.793896347	0.510852274	0.784573665	0.676710875	0.567034325	9.273948836	3.498858872	0.038863481	0.220678965	0.661101575	0.005313968	0.144627389	0.228599144	0.667857906	0.202029257	0.452616828	0.285514989	0.34494913	0.247997357
sample-104	1.257542869	35.18781965	1.627627823	0.285930509	1.728261974	3.044536185	1.83205402	0.58159037	3.552698916	1.650196882	3.174407782	2.519304426	0.740229326	1.042461341	1.016174906	3.134069729	0.194035498	1.963594485	4.495183062	0.116377608	1.741492921	1.408922561	1.221374621	6.783964617	3.748255575	1.057372904	2.145020096
sample-105	0.870467508	1.297233381	0.555408991	1.010282731	0.4695906	0.480888351	0.486820761	0.609063611	0.43722812	0.384174432	0.481147567	0.063739109	0.439701338	3.312157602	4.055327186	0.013293086	2.231396471	0.754566979	0.009369503	1.195886015	0.385455184	0.68211167	0.945811804	2.20028192	0.925323437	0.555142702	0.991934699
sample-106	0.476993278	0.203985747	0.468533899	0.10750436	0.582317612	0.779167659	0.635034653	0.122704135	0.838684631	0.159634202	0.966546785	0.65002206	0.23535223	0.340237173	0.364781027	0.545791193	0.130216044	0.726992356	0.274909774	0.057018865	7.978184833	0.267395446	0.120085979	0.275110607	0.169105592	0.682927955	0.154584648
sample-107	6.158968772	14.01865927	1.700583311	0.483914029	1.38080064	1.025875464	1.994201695	0.834280827	0.819865894	0.535504637	0.810597494	1.782929084	0.403170804	1.529977851	0.729171158	3.77061059	0.270039329	1.26242102	2.417736232	0.422393542	0.472903179	0.881073316	0.752222074	2.282084522	0.92160105	2.523622432	0.896677769
sample-108	2.006923929	2.16350253	1.836790926	1.806818232	1.596872868	1.739624646	1.620505186	3.859653084	1.574142205	1.592105062	1.625717626	2.177554199	4.185688435	0.733469934	0.922291532	3.414894918	1.672423456	4.172463797	3.495443833	1.361370979	14.94106707	1.151955891	1.190009956	0.479563383	0.672180441	1.915761944	0.665216444
sample-109	0.726785637	7.711142426	0.797443336	1.965474502	0.76642157	0.741673288	0.624430882	1.478665099	0.771505288	1.385846438	0.675775468	0.685242292	1.063791627	11.4532225	0.847199952	0.061084438	1.131808825	0.806227084	0.049799054	0.824155427	0.700954327	2.833766518	1.357809411	11.18126753	6.326384891	0.621980514	3.328136208
sample-110	1.085159006	0.490520619	1.321935989	0.255543431	1.628620973	2.649505379	1.233139155	0.408423704	2.990901848	0.528517526	2.846514918	1.449000018	0.346290219	27.4648926	2.427758592	0.084925621	1.004984666	1.94649669	0.030279912	1.37835799	2.67057896	0.852430343	2.163413709	2.976404528	1.823275303	1.54143483	0.992242717
